moth_age_fstbr,moth_pp_group,outcome,pred,var,upper,lower
29,Black African,educ,0.0040768032068578194,2.47288229415425e-4,0.03489858871844518,-0.02674498230472954
29,Black African,behind,-0.0021083690299106184,0.003969933214518834,0.12138614678717155,-0.12560288484699278
29,Black African,private,0.002841343206986326,4.199529117340215e-4,0.04300713842776364,-0.03732445201379098
30,Black African,educ,0.007796481937377763,1.4492821856753756e-4,0.03139216468759824,-0.015799200812842716
30,Black African,behind,-0.007902533209751284,0.00403726440631927,0.11663483043392037,-0.13243989685342294
30,Black African,private,-2.371024633175271e-5,3.6776077436495884e-4,0.03756338582134054,-0.03761080631400404
31,Black African,educ,0.008223200453294966,6.3700180376193e-5,0.023866429433693576,-0.007420028527103646
31,Black African,behind,-0.006834093259149918,0.0028164417989981257,0.09718341880026822,-0.11085160531856807
31,Black African,private,-0.006853432545898732,1.8915147110834884e-4,0.02010290792178777,-0.03380977301358523
32,Black African,educ,0.0038077153612254572,1.0200355775610021e-4,0.023603090262344015,-0.015987659539893104
32,Black African,behind,-0.005677471629229054,0.0029988706125817985,0.10165594043474213,-0.11301088369320025
32,Black African,private,-0.012561092672669468,1.1391307297228652e-4,0.00835800054693104,-0.033480185892269976
33,Black African,educ,0.004489321287892449,1.0461292674644881e-4,0.024536291617325214,-0.015557649041540318
33,Black African,behind,-0.008684854229561185,0.0029177918833648052,0.09718766014095065,-0.11455736860007301
33,Black African,private,-0.017479379422706276,1.4260352505051385e-4,0.0059262972783432795,-0.04088505612375583
34,Black African,educ,0.004808482340998264,9.972193728030792e-5,0.024381213224961056,-0.014764248542964528
34,Black African,behind,-0.011443498101076298,0.0029685745102834686,0.09534636957701839,-0.11823336577917098
34,Black African,private,-0.021277457982955616,1.2649309614330408e-4,7.664953408952797e-4,-0.043321411306806515
16,White,educ,0.001246359672899618,2.1082853053180732e-5,0.010245909011010895,-0.007753189665211658
16,White,behind,-0.004956173695701591,0.002371392692095458,0.09048984332938916,-0.10040219072079233
16,White,private,0.03715499369266071,0.0025591413808559384,0.13630738916899893,-0.0619974017836775
17,White,educ,0.0010858806937076022,2.0029530752048452e-5,0.009857735989884651,-0.007685974602469446
17,White,behind,-0.0053713450052342935,0.0018805150001196423,0.07962386912156003,-0.09036655913202862
17,White,private,0.03718621077494635,0.0025661765958642823,0.13647480030401674,-0.06210237875412405
18,White,educ,0.0013198647671123246,1.9481703859199507e-5,0.009970929068428135,-0.007331199534203486
18,White,behind,-0.0041776606179110675,0.0019144230772258303,0.08158041593159386,-0.089935737167416
18,White,private,0.037139765928887555,0.0026867798899765176,0.13873471474689617,-0.06445518288912105
19,White,educ,0.0017497265163535826,2.355525118544072e-5,0.011262341979725844,-0.007762888947018679
19,White,behind,-0.006483871531389835,0.0018188637447927936,0.077106480555415,-0.09007422361819467
19,White,private,0.037214186620147215,0.002370823059070783,0.1326487393970441,-0.058220366156749685
20,White,educ,5.85217108995559e-4,2.9127659485815927e-5,0.011163346276325217,-0.009992912058334101
20,White,behind,-0.005980234012785759,0.001642857180556429,0.07346282826974194,-0.08542329629531346
20,White,private,0.03769535061063329,0.0023396587263483557,0.1325005876133424,-0.05710988639207582
21,White,educ,-7.545907238828176e-4,2.8880069006301712e-5,0.009778484472592741,-0.011287665920358377
21,White,behind,-0.002817376810788232,0.0016936953335253712,0.07784550184644211,-0.08348025546801859
21,White,private,0.03722590718895885,0.00243278483115931,0.13389951375963358,-0.059447699381715874
22,White,educ,-0.0010609623845866856,2.8850382089805633e-5,0.009466697746524942,-0.011588622515698314
22,White,behind,-0.004118393981711229,0.0018228740630260615,0.07956405937931851,-0.08780084734274096
22,White,private,0.03778692438503314,0.002400432589843167,0.1338155755113585,-0.058241726741292237
23,White,educ,-0.0016716012732662458,4.5933058971721693e-5,0.011612089454305141,-0.014955292000837634
23,White,behind,-0.0042108336667436306,0.00206415328945213,0.08483775574802083,-0.09325942308150809
23,White,private,0.037806513236038286,0.002354757186716075,0.13291716042387144,-0.05730413395179487
24,White,educ,-0.0024390491945654805,5.33168651741971e-5,0.01187255690863606,-0.016750655297767023
24,White,behind,-0.0031782047855810278,0.002224056141540749,0.08925519866437823,-0.0956116082355403
24,White,private,0.03880188438351765,0.0024893516992293228,0.1365929549766928,-0.05898918620965749
25,White,educ,-0.0024282378532251357,5.055728434491107e-5,0.011508076707641032,-0.016364552414091304
25,White,behind,-0.002407914876970386,0.001912902370040166,0.08331609427301222,-0.08813192402695298
25,White,private,0.0404427372869589,0.0028889284296640836,0.14579029281340453,-0.06490481823948671
26,White,educ,-0.0021980533991083156,4.1644530503613684e-5,0.010450331018780094,-0.014846437816996726
26,White,behind,-0.002626990105076584,0.0029565804242711975,0.10394692489235716,-0.10920090510251032
26,White,private,0.03686973304395739,0.002835394936845401,0.14123664920700826,-0.0674971831190935
